framenum	queue density		dynamic density
1		0.0718285		0.0366927
2		0.0673804		0
3		0.0651369		0.012798
4		0.060681		0.00486166
5		0.0618516		0.00542352
6		0.0651291		0.00868154
7		0.0713876		0.0088103
8		0.0770101		0.0123531
9		0.0794253		0.0180927
10		0.0857385		0.0250106
11		0.091283		0.0244722
12		0.0936514		0.0362713
13		0.095575		0.0371843
14		0.0976351		0.0319051
15		0.0981423		0.0398063
16		0.0998513		0.0457176
17		0.101794		0.0351593
18		0.102368		0.0433804
19		0.103894		0.049834
20		0.104054		0.0395215
21		0.104986		0.0420772
22		0.106313		0.0451245
23		0.107511		0.0413865
24		0.10787		0.0465213
25		0.108435		0.0502242
26		0.109161		0.0463184
27		0.10968		0.0522882
28		0.111838		0.0589447
29		0.114721		0.0503763
30		0.115564		0.0632757
31		0.118463		0.0650667
32		0.121229		0.0586014
33		0.122388		0.0704161
34		0.123848		0.0751841
35		0.124413		0.0646882
36		0.125112		0.0728781
37		0.125303		0.0724567
38		0.126825		0.0659173
39		0.127148		0.0723982
40		0.127734		0.0720002
41		0.12883		0.0752543
42		0.129548		0.0725816
43		0.130367		0.0724489
44		0.131113		0.126985
45		0.130801		0.0788245
46		0.131405		0.0728157
47		0.131838		0.0227125
48		0.132275		0.0740994
49		0.133458		0.0736468
50		0.133508		0.00176752
51		0.13464		0.0127277
52		0.135124		0.0138788
53		0.136107		0
54		0.136895		0.0134964
55		0.137937		0.0161925
56		0.139681		0.00431151
57		0.14061		0.0158921
58		0.142077		0.00765926
59		0.143895		0.00793239
60		0.145062		0.010652
61		0.14711		0.0073003
62		0.149599		0.00982867
63		0.150758		0.0122751
64		0.152815		0.0104842
65		0.153903		0.00735102
66		0.154009		0.00800652
67		0.153341		0.00575518
68		0.151703		0.0209371
69		0.151621		0.00914976
70		0.14894		0.0313355
71		0.14832		0.0333059
72		0.148975		0.0140582
73		0.149225		0.0227476
74		0.149572		0.0333098
75		0.1499		0.0181668
76		0.151137		0.0157711
77		0.151336		0.0167505
78		0.151644		0.0282686
79		0.152175		0.0361269
80		0.154266		0.0306566
81		0.15514		0.0232158
82		0.155897		0.0275234
83		0.156939		0.00597368
84		0.157813		0.0340511
85		0.159686		0.0144913
86		0.162171		0.0102423
87		0.16491		0.0226969
88		0.171703		0.0466501
89		0.177778		0.0214405
90		0.180104		0.0409769
91		0.186963		0.0428966
92		0.192398		0.0358148
93		0.195212		0.0603728
94		0.200393		0.0663348
95		0.204225		0.0419757
96		0.207869		0.0695733
97		0.213066		0.068988
98		0.215224		0.0527096
99		0.216086		0.0708687
100		0.219126		0.0649184
101		0.222103		0.0643253
102		0.222641		0.0540167
103		0.22398		0.066128
104		0.222618		0.0650628
105		0.221783		0.0689841
106		0.218416		0.0739433
107		0.216804		0.069542
108		0.214889		0.0760737
109		0.212068		0.0683481
110		0.21014		0.0157672
111		0.210885		0.0586443
112		0.211568		0.0527798
113		0.212883		0.0242264
114		0.213987		0.0616019
115		0.217612		0.0809314
116		0.220499		0.0325021
117		0.221576		0.0895662
118		0.223949		0.0979941
119		0.22634		0.148078
120		0.22483		0.0825741
121		0.227788		0.0973035
122		0.230016		0.108049
123		0.230956		0.0928476
124		0.232864		0.120285
125		0.23327		0.118014
126		0.234093		0.114046
127		0.234796		0.132041
128		0.236614		0.133949
129		0.237613		0.13581
130		0.239525		0.146174
131		0.242026		0.138296
132		0.242619		0.126965
133		0.244792		0.133906
134		0.245311		0.108841
135		0.246244		0.104834
136		0.248054		0.0931753
137		0.250251		0.0888989
138		0.251761		0.0932534
139		0.253154		0.0925237
140		0.255393		0.0896793
141		0.255604		0.0867529
142		0.255858		0.0798858
143		0.255971		0.0736975
144		0.256029		0.0773067
145		0.255323		0.0563578
146		0.254515		0.0437081
147		0.25489		0.0530179
148		0.253524		0.0564398
149		0.252596		0.0390611
150		0.251671		0.0421513
151		0.251324		0.0383978
152		0.249915		0.0152444
153		0.249716		0.0410393
154		0.248655		0.0256466
155		0.24757		0.01073
156		0.247153		0.078485
157		0.244269		0.0297747
158		0.242685		0.0722421
159		0.241905		0.0618945
160		0.241284		0.0771467
161		0.240918		0.0628231
162		0.240621		0.065648
163		0.239123		0.0438174
164		0.237718		0.0421591
165		0.23755		0.0174294
166		0.237418		0.0439656
167		0.236707		0.0273439
168		0.236458		0.0262436
169		0.235818		0.032705
170		0.234519		0.0298489
171		0.234398		0.0196964
172		0.23368		0.0203636
173		0.233535		0.00842402
174		0.233652		0.0243746
175		0.233925		0.0169612
176		0.233781		0.000187287
177		0.233391		0.00518551
178		0.232899		0.00251277
179		0.232778		0
180		0.233063		0.00183385
181		0.232973		0.0064419
182		0.232911		0.00491238
183		0.232868		0.000117054
184		0.232771		0.014109
185		0.232419		0.00913025
186		0.231936		0.00156073
187		0.23119		0.0106715
188		0.230488		0.00866203
189		0.23057		0.0103593
190		0.230707		0.00950872
191		0.230995		0.0111943
192		0.230761		0.0157906
193		0.230184		0.00783094
194		0.230164		0.029763
195		0.231549		0.00869324
196		0.232146		0.00754221
197		0.232509		0.00680476
198		0.232415		0.0123766
199		0.232423		0.00662918
200		0.232536		0.011881
201		0.232427		0.0103866
202		0.232607		0.000963748
203		0.233075		5.07236e-05
204		0.233196		0.000156073
205		0.233414		0.000358967
206		0.2332		7.80363e-06
207		0.233184		0.000659407
208		0.233114		0
209		0.233032		0
210		0.233012		0.000596978
